
8e42 覼
8e49 畧
8e4a 常⃞
8e4b 次⃞
8e4c 似⃞
8e4d 反⃞
8e4e 玍
8e50 槅
8e51 祴
8e55 匄
8e5a 𢬵
8e5c 篼
8e5d 謌
8e60 槩
8e65 㹠
8e67 瓓
8e6c 駞
8e76 𝄾
8e77 ♪
8e78 鸜
8e79 ☰
8e7a ☷
8e7b ☱
8e7c ☲
8e7d ☴
8e7e ☳
8ea1 ☵
8ea2 ☶
8ea3 ䷀
8ea6 螠
8ea9 厓
8eaa 鮋
8eae 魭
8eaf 猨
8eb0 䢵
8eb1 鱅
8eb2 咏
8eb3 伃
8eba 叶
8ebc ⚋
8ebd ⚊
8ebe 鋣
8ebf 鞵
8ec3 皷
8ec4 疒
8ec8 葜
8ec9 鼧
8eca 妸
8ecb 鞲
8ecc 耈
8ecf 苷
8ed1 秆
8ed3 擀
8ed4 倝
8ed6 亘
8ed7 掆
8ed9 秔
8eda 稉
8edc 絚
8ee1 ⼅
8ee3 冂
8ee5 匸
8ee6 卩
8ee8 ⼛
8ee9 亻
8eec 巜
8eee ⼢
8eef 无
8ef0 ⼂
8ef3 ⼴
8ef4 ⼵
8ef5 幺
8ef7 彐
8ef8 ⼺
8efa 忄
8efc 氵
8efd 犭
8efe 阝
8f43 ⼡
8f49 艸
8f4e 烖
8f52 餶
8f53 苽
8f54 辵
8f55 崓
8f57 䒷
8f59 袿
8f5e 㶁
8f5f 菓
8f60 餜
8f61 椁
8f64 恠
8f67 瓌
8f6a 恑
8f6b 鞼
8f73 卝
8f77 鮌
8f78 侊
8f7b 觵
8fa2 愙
8fa6 嘅
8fa8 丂
8fac 蔻
8fad 簆
8fb2 偘
8fb7 褃
8fb8 忼
8fbd 咵
8fbe 絝
8fc3 彍
8fc9 騀
8fcd 稾
8fce 况
8fcf 裩
8fd1 髠
8fd3 鰐
8fd4 鐭
8fd5 䴈
8fd6 蒽
8fd7 鱂
8fe4 蟮
8fe7 芪
8feb 鸌
8fec 鯶
8fee 壻
8fef 鼂
8ff3 堃
8ff4 崐
8ff5 鵾
8ff9 痃
8ffa 茝
8ffd 蜹
9042 甆
9043 榲
9044 鰮
9045 羣
9046 麞
9048 頮
9049 眦
904c 苢
904d 梘
904f 寃
9050 蔴
9054 犼
9057 𦬊
9059 嗞
905b 鰂
905d 癔
905f 鼂
9064 从
9067 筯
9069 揸
906a 倽
906b 哚
906c 啘
906e 飡
9070 辠
9071 躧
9073 昬
907a 陁
907e 剗
90a1 匌
90a2 踪
90a5 棙
90a6 儁
90a8 呪
90ac 盌
90ae 椀
90b3 襀
90b5 H₂
90b8 箒
90ba 簡⃞
90bb 倐
90bc 礚
90bf 悤
90c1 䦟
90c3 䆉
90c6 譌
90c7 𧳵
90c8 戞
90c9 珏
90cb 棊
90cf 輭
90d4 讁
90d5 晳
90d6 顇
90da 膁
90db 顦
90e0 賛
90e3 帀
90e4 麄
90e5 鮝
90e6 慠
90e7 煊
90ea 歘
90ec 鑹
90ee 堦
90f3 晫
90f8 㔶
90f9 稺
90fa 䭔
90fb 髤
90fc 慙
90fe 倸
9141 畑
9143 麯
9144 劚
9146 絥
9147 麕
914d 睃
914e 恊
914f 閦
9151 竱
9152 㑳
9155 効
9156 椉
9157 辬
9159 藳
915a 巵
915b 拕
915d 稭
9160 訽
9162 綫
9165 睺
9167 杘
916e 輨
9178 晧
917d 噇
91a1 㟏
91a7 嘑
91a8 唿
91b1 彠
91b3 惽
91b4 撧
91b5 旤
91bc 愞
91c3 竢
91c8 𦞦
91c9 䁮
91cb 揢
91cf 靧
91d6 黄
91dd 㡛
91df 簧
91e1 閧
91e4 朞
91e7 𩐋
91eb 覊
91f1 檝
91f2 垍
91f3 㺎
91f5 鷀
9245 䛟
9248 矁
9249 叚
925b 唕
9260 竚
9261 隟
9263 襍
9264 灾
9265 蹷
9266 頔
926b 羮
926c 丩
926f 踁
9275 呌
9277 敫
927a 糺
927b 桕
927c 匶
92a4 韀
92a7 碱
92ac 鍳
92b2 鞾
92b7 瑨
92b8 畺
92ba 弆
92c2 凥
92cd 榘
92ce 决
92cf 𧮫
92cf 𧮫 
92d0 橜
92d4 勌
92dd 鵕
92e2 埛
92e7 逈
92f1 噏
92f2 嚱
92f5 臤
92f9 憇
9341 閴
9344 琼
934e 繦
935a 𡙇
935c 慤
9366 熺
9369 葈
936a 憙
936b 肹
936c 磶
9370 䦧
9372 陿
9375 脇
9376 衺
9379 蠏
937a 緤
937d 訩
937e 汹
93a2 歗
93b5 尠
93c5 栙
93d8 卐
93db 瑠
93df 狥
93e0 廵
93e1 卂
93e4 鼅
93f0 剳
93f4 斅
93f7 袠
93f8 寘
93fb 穉
9440 鞧
9445 輙
9446 襵
9448 嗻
9449 謿
9450 毡
9451 氊
9452 飦
945e 争
9460 鼄
9461 猪
9463 爥
9467 凖
946a 斵
946c 甎
9470 瘇
9478 叕
947c 义
94a2 詧
94a4 鑔
94a6 姹
94a8 唓
94a9 蛼
94ac 麨
94ad 犫
94af 酧
94b0 醻
94b1 㵞
94b2 讐
94b6 讇
94b8 韂
94bc 齓
94c4 頳
94d2 巛
